What is the name of the dog you would like to submit a response for?,What is the gender of {{field:dog_name}},Do you know the age of {{field:dog_name}}?,Please enter the age of {{field:dog_name}} in months:,Did you acquire {{field:dog_name}} between 2 and 6 months?,Did {{field:dog_name}} attend puppy training classes between 2 and 6 months?,What style of training was taught to you and {{field:dog_name}} during class?,Where was puppy training offered?,Did {{field:dog_name}} attend any training classes after 6 months of age?,What style of training was used?,Who trained you and {{field:dog_name}}?,At what age did you complete training {{field:dog_name}}?,Is there at least one situation in which {{field:dog_name}} behaves aggressively?,Who or what has {{field:dog_name}} acted aggressively toward?,Is there at least one situation in which {{field:dog_name}} is fearful or anxious?,What sort of fears and/or anxiety has {{field:dog_name}} had?,Do you consider {{field:dog_name}} to have a problem with jumping up on people?,Who does {{field:dog_name}} jumped up on?,Does {{field:dog_name}} bark excessively?,When has {{field:dog_name}} excessively barked?,Has {{field:dog_name}} ever eaten feces?,What type of feces has {{field:dog_name}} eaten?,Has {{field:dog_name}} ever had any repetitive behaviors?,What sort of repetitive behaviors have you seen with {{field:dog_name}}?,Have you ever had a problem with {{field:dog_name}} soiling in the house?,When has {{field:dog_name}} soiled in the house?,How has {{field:dog_name}} soiled in the house?,Where has {{field:dog_name}} soiled in the house?,Has {{field:dog_name}} ever rolled in repulsive material?,In what repulsive material has {{field:dog_name}} rolled?,Do you consider{{field:dog_name}} to be overactive/hyperactive?,In what ways has {{field:dog_name}} been overactive/hyperactive?,Has {{field:dog_name}} ever exhibited destructive behavior in the home (other than puppy chewing behavior)?,When has {{field:dog_name}} been destructive?,Has {{field:dog_name}} ever run away/escaped?,Which of the following describes how {{field:dog_name}} has run away/escaped?,Have you ever had a problem with {{field:dog_name}} mounting/humping?,Who or what has {{field:dog_name}} mounted/humped?,Would you like to enter information for another dog you own?,id,msg,list,sep,Submitted At,Token
Linus,Male,Yes,195.0,False,I don't know,,,Yes,Mixed balance of both reward and discipline,Myself/family member attended group classes,"18-36 months (social maturity), Continue to practice and use training skills in home",True,Familiar dogs in the home,True,Fear of thunderstorms,False,,False,,True,"Dog feces other than their own, The feces of other animals",False,,True,He cannot hold it very long and will potty in front of the door if he cannot get out.,Both feces and urine,Specific locations,False,,False,,False,,False,,False,,False,a2328b2f023950881ad4047be9cb8070,We have submissions for:,,", ",5/16/2020 2:56:47,fohe5auzatnaoqpqbfou694fkx0fvbrc
Bruno,Male,I don't know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,8a4b6f659345a35ce7f3f67d54792075,,, ,5/16/2020 2:55:09,zk2ieu0qzjbh96gryrzk2iej107im0ju
Zorro,Male,I don't know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,8a4b6f659345a35ce7f3f67d54792075,We have submissions for:,,", ",5/16/2020 2:55:40,up65mebczf2laoax2oqup65mejko1ua3
Llama Lady,Female,I don't know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,8a4b6f659345a35ce7f3f67d54792075,We have submissions for:,,", ",5/16/2020 2:56:05,cqqlc9vnr1mqyt5cqqlvkyditiu6uiq6
Bruno,Male,Yes,148.0,False,No,,,No,,,,True,Familiar dogs in the home,True,Separation anxiety,False,,False,,False,,True,Licking of the wrist/hock,False,,,,False,,False,,False,,True,"Escapes from home, Returns home after escape",True,Unfamiliar dogs,True,8a4b6f659345a35ce7f3f67d54792075,,, ,5/16/2020 3:00:57,3900c2pjxi3q2et343900utjgxx5uwg2
Sadie,Female,Yes,168.0,False,I don't know,,,Yes,Reward based,Myself/family member attended group classes,"Continue to attend classes periodically (nose work, agility, trick training, etc.)",True,"Unfamiliar dogs in the home, Unfamiliar dogs away from the home",True,Travel anxiety,False,,True,"At triggers (outside), Owners are present, During car rides, At triggers (inside)",False,,True,"Licking of the wrist/hock, Tail chasing, Tennis ball fetish",True,Exited/overwhelmed,Urine,Specific locations,True,"Feces, Dead stuff",False,,False,,True,"Escapes from home, Returns home after escape",False,,False,82f672505d3808f2599cdc3767fbc36e,,, ,5/16/2020 3:06:14,jjw1gm2vn6b8uai8w18hjjw1g6drbbzc
Zorro,Male,Yes,168.0,False,No,,,No,,,,True,Familiar dogs in the home,True,"Fear of veterinary visits, Post-traumatic Stress Disorder (PTSD)",False,,False,,False,,False,,True,"Owners are present, Owners are away",Urine,Specific locations,False,,False,,False,,False,,False,,False,8a4b6f659345a35ce7f3f67d54792075,We have submissions for:,,", ",5/16/2020 3:05:59,cwa0k7ekypwowwjja3zocwa0g7vm1dc3
Sampson,Male,Yes,72.0,False,I don't know,,,I don't know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,c46bedef0d416c02639cadb8b8887a1a,,, ,5/16/2020 3:12:08,20xxkf0v6m6vve0l7vlau20xxkfq0g43
Phoebe,Female,Yes,70.0,True,No,,,No,,,,False,,True,"Fear of noises, Fear of animals other than dogs, fear of children, bikes, skateboards, rollerblades, baby carriages",False,,False,,True,The feces of other animals,False,,True,"Owners are away, Exited/overwhelmed, dietary...food too rich",Feces,Specific locations,True,Feces,False,,False,,False,,False,,False,a0f0487ef32423c9cff68b22bf8bd0b1,,, ,5/16/2020 3:21:38,zs37hib4fmlu8hflzs3wx2iijufkahw9
Astro,Male,Yes,18.0,True,Yes,Reward based,Myself/family member attended group classes,Yes,Reward based,Myself/family member attended group classes,"6 to 18 months (adolescence), Continue to practice and use training skills in home",False,,False,,False,,False,,False,,False,,True,Owners are present,Feces,Specific locations,False,,False,,False,,True,Escapes from home,False,,False,170a1a22f42e65a8c01bfd6db33779bf,,, ,5/16/2020 3:28:50,1jjpzj50nmt2zg2mpx1jjpzpi3symtcp
Duke,Male,Yes,25.0,False,I don't know,,,No,,,,False,,True,Separation anxiety,False,,False,,False,,False,,False,,,,False,,False,,False,,False,,False,,False,e1ff10303114bd2501c6ee1ef0c58944,,, ,5/16/2020 3:33:29,s5dbbvl418af09jds5dbqbcs8y2ilygw
Kolsch,Male,Yes,28.0,True,Yes,Reward based,Myself/family member attended group classes,Yes,Reward based,"Myself/family member attended group classes, Sent to professional training school/boot camp, Hired in home private trainer","6 to 18 months (adolescence), Continue to attend classes periodically (nose work, agility, trick training, etc.), Continue to practice and use training skills in home",True,Unfamiliar dogs away from the home,True,"Fear of noises, Fear of thunderstorms, Fear of other dogs, Generalized anxiety",False,,False,,False,,False,,False,,,,False,,False,,False,,False,,True,Unfamiliar dogs,False,c9aea018ada238093fbd2f46d3a5dac9,,, ,5/16/2020 3:44:24,vyv2eldhyn1d1qcvyv2el9vmu4nrepjv
jasmine,Female,Yes,168.0,False,I don't know,,,I don't know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,01f155269919ba42302c9ce859842872,,, ,5/16/2020 3:46:54,8nlcqgzewlw6evbvfvuedrfp8nlcqgze
Schayenne,Female,Yes,72.0,False,I don't know,,,I don't know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,4da7ac7bb7e34491cdbbc8fe709dc347,,, ,5/16/2020 3:47:11,chekkjjyogpmcachekkfxdglf4jidsq8
Schuyler,Male,Yes,156.0,True,Yes,Mixed balance of both reward and discipline,Myself/family member attended group classes,Yes,Mixed balance of both reward and discipline,Hired in home private trainer,Continue to practice and use training skills in home,False,,False,,False,,True,"At triggers (outside), Owners are away",False,,True,Licking of the wrist/hock,True,"Owners are away, Owners are present",Both feces and urine,Specific locations,False,,False,,False,,True,"Escapes from home, Escaped when out",True,"People, Familiar dogs",False,4da7ac7bb7e34491cdbbc8fe709dc347,We have submissions for:,,", ",5/16/2020 3:52:17,xef9mzwkt0tcnr71r7t00vy8xef9mzwg
Lilli,Female,Yes,39.0,False,No,,,Yes,Reward based,Myself/family member attended group classes,6 to 18 months (adolescence),False,,True,she's afraid of brooms :-(,True,"Owners, Familiar people, Stangers",False,,True,The feces of other animals,False,,False,,,,False,,False,,False,,False,,False,,False,17756f5abf6140e77f6bf351e6d21dc5,,, ,5/16/2020 3:56:40,x9kma7icbedp6w7asagysb6x9kma7icc
Leo,Male,Yes,132.0,True,No,,,Yes,Reward based,Myself/family member attended group classes,6 to 18 months (adolescence),False,,True,Fear of thunderstorms,False,,False,,True,The feces of other animals,True,Licking of the wrist/hock,True,Owners are away,Both feces and urine,Specific locations,True,Dead stuff,False,,False,,True,Escapes from home,False,,False,1f884a4f701a768af3905cc9ee9c591c,,, ,5/16/2020 3:56:52,6aivwaoshdmwo40w6aivwinh5z17bddr
Maude,Female,Yes,59.0,True,Yes,Mixed balance of both reward and discipline,Myself/family member attended group classes,Yes,Reward based,Myself/family member attended group classes,"Continue to attend classes periodically (nose work, agility, trick training, etc.), Continue to practice and use training skills in home",False,,True,"Fear of crowds, Fear of veterinary visits, Fear of noises, Generalized anxiety",False,,True,"Owners are present, At triggers (outside), At triggers (inside)",False,,False,,False,,,,True,"Feces, Dead stuff, Urine",False,,False,,False,,False,,True,a779895aa52a94ec8e94f6b4df7fc62b,,, ,5/16/2020 4:18:52,xzghd4q8au2t9lxzgh2ybszfbgon7m8j
Larry,Male,Yes,36.0,True,Yes,Reward based,Myself/family member attended group classes,Yes,Reward based,Myself/family member attended group classes,"Continue to attend classes periodically (nose work, agility, trick training, etc.), Continue to practice and use training skills in home",False,,True,"Fear of crowds, Fear of noises, Fear of other dogs, Fear of animals other than dogs, Separation anxiety, Travel anxiety, Generalized anxiety",True,Familiar people,False,,False,,False,,True,Owners are away,Feces,Specific locations,True,Urine,False,,True,Owner is away,False,,False,,True,a779895aa52a94ec8e94f6b4df7fc62b,We have submissions for:,,", ",5/16/2020 4:23:40,i4gd5qndb0k1csi4fhm2ax7396n1l44j
Colt,Male,Yes,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,a779895aa52a94ec8e94f6b4df7fc62b,We have submissions for:,,", ",5/16/2020 4:24:32,848u5pgruuy15qa83jjz848u5pgfh6wa
Kika,Female,Yes,96.0,False,No,,,Yes,Mixed balance of both reward and discipline,Hired in home private trainer,"18-36 months (social maturity), Continue to practice and use training skills in home",False,,True,Fear of thunderstorms,False,,False,,True,The feces of other animals,False,,False,,,,False,,False,,False,,False,,False,,True,77da5c17343c5e84f2216d9f475d692a,,, ,5/16/2020 4:44:50,onqfwod0qcpu7j5conqfwe25webyvebw
Louie,Male,Yes,108.0,True,Yes,Reward based,Myself/family member attended group classes,Yes,Reward based,Myself/family member attended group classes,18-36 months (social maturity),True,Unfamiliar dogs away from the home,True,Fear of thunderstorms,False,,False,,True,The feces of other animals,False,,False,,,,True,Dead stuff,False,,False,,True,"Escaped when out, Returns home after escape",False,,False,77da5c17343c5e84f2216d9f475d692a,We have submissions for:,,", ",5/16/2020 4:51:06,ulg81ykku04mi4wsulg8jza6zihyp0xu
baxter,Male,Yes,156.0,True,Yes,Reward based,Myself/family member attended group classes,No,,,,True,Strangers visiting the home,True,people entering  his backyard ,False,,True,"To get attention, At triggers (inside), At triggers (outside)",False,,True,barking,False,,,,True,Dead stuff,False,,False,,True,"Escapes from home, Escaped when out, Returns home after escape",False,,True,5cffef70de7b432891332482f43f31b1,,, ,5/16/2020 5:02:32,36xq4cs4d5w8hls0436xq4cqyf0lyvzz
Mace,Male,Yes,108.0,True,Yes,Reward based,Myself/family member attended group classes,Yes,Reward based,Myself/family member attended group classes,"Continue to attend classes periodically (nose work, agility, trick training, etc.), Continue to practice and use training skills in home",False,,True,Fear of other dogs,False,,False,,True,The feces of other animals,False,,False,,,,False,,False,,False,,False,,False,,True,c14a2d0a323b817ead5e1e61f3538203,,, ,5/16/2020 5:01:25,zh9lcl9y9h7bshukzh9lclli19re5prk
Ned,Male,Yes,18.0,False,No,,,Yes,Reward based,Myself/family member attended group classes,"Continue to attend classes periodically (nose work, agility, trick training, etc.), Continue to practice and use training skills in home",False,,False,,False,,False,,True,The feces of other animals,False,,False,,,,True,Dead stuff,False,,False,,False,,False,,False,c14a2d0a323b817ead5e1e61f3538203,We have submissions for:,,", ",5/16/2020 5:03:54,sh69xq8myaeb5ho5xhl9vissh69xqlqf
Memphis,Male,Yes,65.0,True,Yes,Reward based,Myself/family member attended group classes,Yes,Reward based,Hired in home private trainer,6 to 18 months (adolescence),True,Unfamiliar dogs away from the home,True,"Fear of noises, Fear of other dogs",False,,False,,True,Dog feces other than their own,False,,False,,,,True,"Feces, Dead stuff",False,,False,,True,Escapes from home,False,,False,5cffef70de7b432891332482f43f31b1,We have submissions for:,,", ",5/16/2020 5:06:36,ec7lhhrb5egqgj10xvwuec7lqr1l8mb9
Pablo,Male,Yes,14.0,True,No,,,No,,,,True,Cats but never really hurt any,True,Separation anxiety,False,,False,,True,Dog feces other than their own,False,,False,,,,False,,True,Difficulty settling,True,Owner is away,True,Escapes from home,False,,False,543d3eef8de20bc4414d36601f7402cb,,, ,5/16/2020 5:14:22,pcnmg10uz8lsy4ujpwgaipcnmg170uzi
Doug,Male,Yes,117.0,False,No,,,Yes,Reward based,Myself/family member attended group classes,"Continue to attend classes periodically (nose work, agility, trick training, etc.), Continue to practice and use training skills in home",False,,False,,False,,False,,True,The feces of other animals,False,,True,"Owners are away, Exited/overwhelmed",Urine,Specific locations,True,Dead stuff,False,,False,,False,,True,Familiar dogs,True,6e0108d3bc39bdd5a9329ae4f0112fab,,, ,5/16/2020 5:22:04,vq0m18dcyuvch6fq8nyvq0m18mxag80b
Etta,Female,Yes,116.0,False,No,,,Yes,Reward based,"Hired in home private trainer, Myself/family member attended group classes","Continue to attend classes periodically (nose work, agility, trick training, etc.), Continue to practice and use training skills in home",True,Familiar dogs in the home,False,,True,Owners,False,,False,,True,Licking of the wrist/hock,True,"Owners are present, Owners are away",Both feces and urine,Anywhere,False,,False,,False,,False,,False,,True,6e0108d3bc39bdd5a9329ae4f0112fab,We have submissions for:,,", ",5/16/2020 5:25:35,ogmiehmonlneg6qojegqogmier070vqz
Pete,Male,Yes,146.0,False,No,,,No,,,,True,Familiar dogs in the home,True,"Fear of veterinary visits, Separation anxiety",False,,False,,False,,True,Tail chasing,True,Owners are away,Both feces and urine,Anywhere,False,,False,,False,,False,,False,,False,6e0108d3bc39bdd5a9329ae4f0112fab,We have submissions for:,,", ",5/16/2020 5:28:04,rqsxy6n3i29csvtzub0yjurqsxy6nqoa
Milo,Male,Yes,27.0,False,Yes,Mixed balance of both reward and discipline,Myself/family member attended group classes,No,,,,False,,True,Travel anxiety,True,"Familiar people, Owners",True,"At triggers (inside), Owners are present, Owners are away, At triggers (outside)",True,Dog feces other than their own,False,,True,Owners are away,Both feces and urine,Specific locations,False,,True,Constant moving/jumping,True,Owner is away,False,,False,,True,8a0d0123fbc3050bf4a327e39f4f9f47,,, ,5/16/2020 5:38:23,4jznv746n0w2fm3u1g4jzt034totuvvt
Candy,Female,Yes,52.0,False,Yes,Mixed balance of both reward and discipline,Hired private in-home trainer,Yes,Mixed balance of both reward and discipline,Hired in home private trainer,6 to 18 months (adolescence),True,"Strangers visiting the home, Strangers away from the home",False,,False,,False,,False,,True,"Licking of the wrist/hock, Nail biting, Fly snapping (when no flies are around)",False,,,,False,,False,,False,,False,,False,,False,8a0d0123fbc3050bf4a327e39f4f9f47,We have submissions for:,,", ",5/16/2020 5:44:29,0f2m78jpum4eoiic10f2m78ifsx4zun6
Songbird,Female,Yes,84.0,False,No,,,No,,,,True,Unfamiliar dogs away from the home,False,,False,,False,,False,,True,Mouse fettish,True,Owners are away,Both feces and urine,Specific locations,False,,False,,True,"Owner is present, Owner is away",False,,False,,False,9ef104cc779b1407756cf34870ef2539,,, ,5/16/2020 6:11:59,3fd7h6pqfnbjmgn6q83fd7hyyjfqslfa
Charlie,Male,Yes,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,5c4be837849731804e4d0c8f277e675a,,, ,5/16/2020 7:37:33,6577nzx5zl1kdpcs2mha6577nf5n7fbj
Shadow,Male,Yes,136.0,True,Yes,Reward based,Myself/family member attended group classes,No,,,,True,Unfamiliar dogs in the home,False,,False,,False,,False,,False,,False,,,,False,,False,,False,,False,,False,,False,71f65a0ca8efaac3258748706c57a46d,,, ,5/16/2020 7:49:58,z47u4ii1kfsgggou363w2z47u42kja1p
Ruby,Female,Yes,61.0,True,Yes,Reward based,Myself/family member attended group classes,Yes,I don't know,Sent to professional training school/boot camp,Continue to practice and use training skills in home,True,Unfamiliar dogs away from the home,True,Fear of other dogs,False,,False,,False,,False,,False,,,,False,,False,,False,,False,,False,,False,a5811d3533ca9481e8da6b5b1cdc4447,,, ,5/16/2020 7:53:17,9gg0gbazpvmks49l29gg071nhztbhzi6
pai,Female,Yes,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,9d305f6af4b519f96bd9a7fd68d5250b,,, ,5/16/2020 8:23:16,6litocd140l435d7pgh6litobr82yrne
Simba,Female,Yes,57.0,False,No,,,Yes,Reward based,Myself/family member attended group classes,"6 to 18 months (adolescence), Continue to practice and use training skills in home, 18-36 months (social maturity)",True,food,False,,False,,False,,True,piggy poop,False,,False,,,,False,,False,,False,,False,,False,,True,9d305f6af4b519f96bd9a7fd68d5250b,We have submissions for:,,", ",5/16/2020 8:29:42,nalvr2kt91qxf8gauo0nalvk2gcmkrti
Hannibal,Male,Yes,118.0,True,Yes,Reward based,Myself/family member attended group classes,Yes,Reward based,Myself/family member attended group classes,"Continue to attend classes periodically (nose work, agility, trick training, etc.)",False,,False,,False,,False,,False,,False,,False,,,,False,,False,,False,,False,,False,,True,e2886d18ea83462ce6e821360d24e586,,, ,5/16/2020 8:27:24,wy390png21e7fh0u4ylewy390pnr8256
Nubia,Female,Yes,25.0,True,Yes,Reward based,Myself/family member attended group classes,Yes,Reward based,Myself/family member attended group classes,"Continue to attend classes periodically (nose work, agility, trick training, etc.)",True,Unfamiliar dogs away from the home,True,Fear of veterinary visits,False,,False,,False,,False,,False,,,,False,,False,,False,,False,,False,,False,e2886d18ea83462ce6e821360d24e586,We have submissions for:,,", ",5/16/2020 8:29:32,2aduep8gdwo15gw0e02adue3rnc15hna
pai,Female,Yes,75.0,True,Yes,Reward based,Myself/family member attended group classes,Yes,Reward based,Myself/family member attended group classes,"Continue to practice and use training skills in home, 6 to 18 months (adolescence), 18-36 months (social maturity)",False,,False,,False,,False,,True,piggy poop,False,,False,,,,False,,False,,False,,False,,False,,False,9d305f6af4b519f96bd9a7fd68d5250b,We have submissions for:,,", ",5/16/2020 8:36:02,7113wapteyb84mzr711tcl63761vqqcd
Annabelle,Female,Yes,120.0,False,No,,,Yes,Reward based,Myself/family member attended group classes,"Continue to attend classes periodically (nose work, agility, trick training, etc.)",True,"Familiar dogs in the home, Unfamiliar dogs in the home, Unfamiliar dogs away from the home",True,Fear of other dogs,False,,False,,False,,False,,False,,,,False,,False,,False,,False,,False,,True,2e65a6a520898e007074cfa8fdcd3f65,,, ,5/16/2020 8:38:27,kyckb2xxcsmqzu9xbqzekyckb2xxgklr
Harold,Male,Yes,36.0,True,Yes,Reward based,Myself/family member attended group classes,Yes,Reward based,Myself/family member attended group classes,"Continue to attend classes periodically (nose work, agility, trick training, etc.)",True,Unfamiliar dogs in the home,False,,False,,False,,True,"The feces of other animals, Their own feces",False,,True,"Owners are present, Owners are away",Both feces and urine,Specific locations,True,"Dead stuff, Feces",False,,False,,False,,False,,True,2e65a6a520898e007074cfa8fdcd3f65,,, ,5/16/2020 8:41:19,lhkzxu8s3ek181julhkzkzdz5ifh8i8x
Mia,Female,Yes,132.0,False,No,,,No,,,,False,,False,,False,,False,,False,,False,,False,,,,True,"Feces, Garbage, Dead stuff",False,,False,,False,,False,,False,2e65a6a520898e007074cfa8fdcd3f65,We have submissions for:,,", ",5/16/2020 8:42:50,bcitvasjz278r0zf7gbcitv5j04a4stl
Faye,Female,Yes,28.0,True,No,,,Yes,Reward based,Myself/family member attended group classes,6 to 18 months (adolescence),False,,False,,False,,False,,False,,True,Licking of the wrist/hock,False,,,,False,,False,,False,,True,Escapes from home,False,,False,1af3c9674ee6b1223a42a3f17bae7288,,, ,5/16/2020 9:11:49,ark8uzsnj99qegbvvdark8uz4hqjqtrb
Wyatt,Male,Yes,144.0,False,No,,,Yes,Reward based,Myself/family member attended group classes,Continue to practice and use training skills in home,True,"Unfamiliar dogs in the home, Unfamiliar dogs away from the home, Strangers visiting the home",True,"Fear of thunderstorms, Post-traumatic Stress Disorder (PTSD)",False,,False,,False,,True,Licking of the wrist/hock,False,,,,False,,False,,True,Owner is away,False,,True,Familiar dogs,False,c199943acc65eb6b9568f6b50935c264,,, ,5/16/2020 9:18:42,dqnak18xfrff8n6xqypmdqnak7tlkh0m
Spice,Male,Yes,14.0,False,No,,,No,,,,True,"Strangers visiting the home, Strangers away from the home, Unfamiliar dogs in the home, Unfamiliar dogs away from the home, Veterinarians, Groomers",True,"Fear of veterinary visits, Separation anxiety",False,,False,,False,,False,,False,,,,True,Dead stuff,False,,True,Owner is away,True,Escaped when out,False,,True,c03c7dab35373646dff0f04e3d9cedb4,,, ,5/16/2020 9:26:50,vqep44kwst31j4e4mb38ly7vqep44kv0
Molly,Female,Yes,13.0,False,I don't know,,,I don't know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,c03c7dab35373646dff0f04e3d9cedb4,We have submissions for:,,", ",5/16/2020 9:27:42,0l23q1nof2ug1mt0l23ykhppo2qtm8bd
Glo,Female,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,c03c7dab35373646dff0f04e3d9cedb4,We have submissions for:,,", ",5/16/2020 9:28:09,7hqt4vu0trppa1k7hqt49qjrp68dy0q2
